DATE,GDP,UNRATE,DEFLATOR,FEDFUNDS,M2SL,CCI
2004-10-01,12527.214,5.5,3.1,1.76,6379.9,91.7
2004-11-01,12527.214,5.4,3.1,1.93,6406.5,92.8
2004-12-01,12527.214,5.4,3.1,2.16,6424.7,97.1
2005-01-01,12767.286,5.3,3.2,2.28,6431,95.5
2005-02-01,12767.286,5.4,3.2,2.5,6439.1,94.1
2005-03-01,12767.286,5.2,3.2,2.63,6448.4,92.6
2005-04-01,12922.656,5.2,2.9,2.79,6462,87.7
2005-05-01,12922.656,5.1,2.9,3,6479.2,86.9
2005-06-01,12922.656,5,2.9,3.04,6511.8,96
2005-07-01,13142.642,5,3.7,3.26,6543.7,96.5
2005-08-01,13142.642,4.9,3.7,3.5,6576.5,89.1
2005-09-01,13142.642,5,3.7,3.62,6610.3,76.9
2005-10-01,13324.204,5,3.3,3.78,6644.1,74.2
2005-11-01,13324.204,5,3.3,4,6660.8,81.6
2005-12-01,13324.204,4.9,3.3,4.16,6688,91.5
2006-01-01,13599.16,4.7,2.9,4.29,6730.3,91.2
2006-02-01,13599.16,4.8,2.9,4.49,6754.9,86.7
2006-03-01,13599.16,4.7,2.9,4.59,6769.5,88.9
2006-04-01,13753.424,4.7,3.5,4.79,6807,87.4
2006-05-01,13753.424,4.6,3.5,4.94,6813.9,79.1
2006-06-01,13753.424,4.6,3.5,4.99,6852.1,84.9
2006-07-01,13870.188,4.7,2.8,5.24,6893.9,84.7
2006-08-01,13870.188,4.7,2.8,5.25,6925.3,82
2006-09-01,13870.188,4.5,2.8,5.25,6952.6,85.4
2006-10-01,14039.56,4.4,1.4,5.25,7002,93.6
2006-11-01,14039.56,4.5,1.4,5.25,7037.5,92.1
2006-12-01,14039.56,4.4,1.4,5.24,7080.4,91.7
2007-01-01,14215.651,4.6,3.9,5.25,7118.5,96.9
2007-02-01,14215.651,4.5,3.9,5.26,7134.6,91.3
2007-03-01,14215.651,4.4,3.9,5.26,7168.5,88.4
2007-04-01,14402.082,4.5,2.8,5.25,7241,87.1
2007-05-01,14402.082,4.4,2.8,5.25,7254.9,88.3
2007-06-01,14402.082,4.6,2.8,5.25,7288.1,85.3
2007-07-01,14564.117,4.7,2.2,5.26,7319,90.4
2007-08-01,14564.117,4.6,2.2,5.02,7395.1,83.4
2007-09-01,14564.117,4.7,2.2,4.94,7413.3,83.4
2007-10-01,14715.058,4.7,1.6,4.76,7428.4,80.9
2007-11-01,14715.058,4.7,1.6,4.49,7453.8,76.1
2007-12-01,14715.058,5,1.6,4.24,7484.2,75.5
2008-01-01,14706.538,5,1.5,3.94,7517.8,78.4
2008-02-01,14706.538,4.9,1.5,2.98,7604.2,70.8
2008-03-01,14706.538,5.1,1.5,2.61,7670.3,69.5
2008-04-01,14865.701,5,2,2.28,7712.8,62.6
2008-05-01,14865.701,5.4,2,1.98,7725.5,59.8
2008-06-01,14865.701,5.6,2,2,7744.2,56.4
2008-07-01,14898.999,5.8,3,2.01,7791.5,61.2
2008-08-01,14898.999,6.1,3,2,7806.1,63
2008-09-01,14898.999,6.1,3,1.81,7872.7,70.3
2008-10-01,14608.209,6.5,1,0.97,7975.3,57.6
2008-11-01,14608.209,6.8,1,0.39,8027.3,55.3
2008-12-01,14608.209,7.3,1,0.16,8205,60.1
2009-01-01,14430.902,7.8,-0.3,0.15,8289.4,61.2
2009-02-01,14430.902,8.3,-0.3,0.22,8319.6,56.3
2009-03-01,14430.902,8.7,-0.3,0.18,8386.7,57.3
2009-04-01,14381.236,9,-0.7,0.15,8391.4,65.1
2009-05-01,14381.236,9.4,-0.7,0.18,8449.5,68.7
2009-06-01,14381.236,9.5,-0.7,0.21,8459.5,70.8
2009-07-01,14448.882,9.5,0.5,0.16,8463.8,66
2009-08-01,14448.882,9.6,0.5,0.16,8463.3,65.7
2009-09-01,14448.882,9.8,0.5,0.15,8461.8,73.5
2009-10-01,14651.249,10,1.3,0.12,8488.1,70.6
2009-11-01,14651.249,9.9,1.3,0.12,8517.3,67.4
2009-12-01,14651.249,9.9,1.3,0.12,8512.5,72.5
2010-01-01,14764.61,9.8,1.2,0.11,8478,74.4
2010-02-01,14764.61,9.8,1.2,0.13,8527.6,73.6
2010-03-01,14764.61,9.9,1.2,0.16,8523.7,73.6
2010-04-01,14980.193,9.9,2,0.2,8555.1,72.2
2010-05-01,14980.193,9.6,2,0.2,8609.3,73.6
2010-06-01,14980.193,9.4,2,0.18,8628.4,76
2010-07-01,15141.607,9.4,1.2,0.18,8639.8,67.8
2010-08-01,15141.607,9.5,1.2,0.19,8688.2,68.9
2010-09-01,15141.607,9.5,1.2,0.19,8718.9,68.2
2010-10-01,15309.474,9.4,2.3,0.19,8768.7,67.7
2010-11-01,15309.474,9.8,2.3,0.19,8789.3,71.6
2010-12-01,15309.474,9.3,2.3,0.18,8822.9,74.5
2011-01-01,15351.448,9.1,2.1,0.17,8845.2,74.2
2011-02-01,15351.448,9,2.1,0.16,8909,77.5
2011-03-01,15351.448,9,2.1,0.14,8967,67.5
2011-04-01,15557.539,9.1,2.7,0.1,9030.4,69.8
2011-05-01,15557.539,9,2.7,0.09,9102.7,74.3
2011-06-01,15557.539,9.1,2.7,0.09,9176.7,71.5
2011-07-01,15647.68,9,2.4,0.07,9338.7,63.7
2011-08-01,15647.68,9,2.4,0.1,9525.1,55.8
2011-09-01,15647.68,9,2.4,0.08,9545.3,59.5
2011-10-01,15842.259,8.8,0.5,0.07,9578.1,60.8
2011-11-01,15842.259,8.6,0.5,0.08,9629.8,63.7
2011-12-01,15842.259,8.5,0.5,0.07,9677.4,69.9
2012-01-01,16068.805,8.3,2.4,0.08,9750.5,75
2012-02-01,16068.805,8.3,2.4,0.1,9802.2,75.3
2012-03-01,16068.805,8.2,2.4,0.13,9846.2,76.2
2012-04-01,16207.115,8.2,1.7,0.14,9899.8,76.4
2012-05-01,16207.115,8.2,1.7,0.16,9943,79.3
2012-06-01,16207.115,8.2,1.7,0.16,10013,73.2
2012-07-01,16319.541,8.2,2.2,0.16,10065.7,72.3
2012-08-01,16319.541,8.1,2.2,0.13,10136.4,74.3
2012-09-01,16319.541,7.8,2.2,0.14,10216.6,78.3
2012-10-01,16420.419,7.8,2,0.16,10282.8,82.6
2012-11-01,16420.419,7.7,2,0.16,10351.8,82.7
2012-12-01,16420.419,7.9,2,0.16,10474.4,72.9
2013-01-01,16648.189,8,1.6,0.14,10497.6,73.8
2013-02-01,16648.189,7.7,1.6,0.15,10516.6,77.6
2013-03-01,16648.189,7.5,1.6,0.14,10572.9,78.6
2013-04-01,16728.687,7.6,0.9,0.15,10600.4,76.4
2013-05-01,16728.687,7.5,0.9,0.11,10634.7,84.5
2013-06-01,16728.687,7.5,0.9,0.09,10692.3,84.1
2013-07-01,16953.838,7.3,2,0.09,10731.5,85.1
2013-08-01,16953.838,7.2,2,0.08,10789.6,82.1
2013-09-01,16953.838,7.2,2,0.08,10850,77.5
2013-10-01,17192.019,7.2,2.1,0.09,10974.2,73.2
2013-11-01,17192.019,6.9,2.1,0.08,10982.9,75.1
2013-12-01,17192.019,6.7,2.1,0.09,11047.8,82.5
2014-01-01,17197.738,6.6,1.5,0.07,11117.6,81.2
2014-02-01,17197.738,6.7,1.5,0.07,11183.2,81.6
2014-03-01,17197.738,6.7,1.5,0.08,11219.1,80
2014-04-01,17518.508,6.2,2.3,0.09,11264,84.1
2014-05-01,17518.508,6.3,2.3,0.09,11328.5,81.9
2014-06-01,17518.508,6.1,2.3,0.1,11383.7,82.5
2014-07-01,17804.228,6.2,1.7,0.09,11438.4,81.8
2014-08-01,17804.228,6.1,1.7,0.09,11462.5,82.5
2014-09-01,17804.228,5.9,1.7,0.09,11503.7,84.6
2014-10-01,17912.079,5.7,0.4,0.09,11577.5,86.9
2014-11-01,17912.079,5.8,0.4,0.09,11618.2,88.8
2014-12-01,17912.079,5.6,0.4,0.12,11701.9,93.6
2015-01-01,18063.529,5.7,-0.2,0.11,11774.2,98.1
2015-02-01,18063.529,5.5,-0.2,0.11,11880.4,95.4
2015-03-01,18063.529,5.4,-0.2,0.11,11892.9,93
2015-04-01,18279.784,5.4,2.3,0.12,11932.5,95.9
2015-05-01,18279.784,5.6,2.3,0.12,11963.8,90.7
2015-06-01,18279.784,5.3,2.3,0.13,12011.1,96.1
2015-07-01,18401.626,5.2,1.1,0.13,12061.1,93.1
2015-08-01,18401.626,5.1,1.1,0.14,12110.8,91.9
2015-09-01,18401.626,5,1.1,0.14,12170.3,87.2
2015-10-01,18435.137,5,0,0.12,12211.2,90
2015-11-01,18435.137,5.1,0,0.12,12301,91.3
2015-12-01,18435.137,5,0,0.24,12361.5,92.6
2016-01-01,18525.933,4.8,-0.3,0.34,12490.8,92
2016-02-01,18525.933,4.9,-0.3,0.38,12557.6,91.7
2016-03-01,18525.933,5,-0.3,0.36,12620.2,91
2016-04-01,18711.702,5.1,2.7,0.37,12703.7,89
2016-05-01,18711.702,4.8,2.7,0.37,12775.9,94.7
2016-06-01,18711.702,4.9,2.7,0.38,12841.1,93.5
2016-07-01,18892.639,4.8,1,0.39,12902.2,90
2016-08-01,18892.639,4.9,1,0.4,12988.9,89.8
2016-09-01,18892.639,5,1,0.4,13047.9,91.2
2016-10-01,19089.379,4.9,1.9,0.4,13112.8,87.2
2016-11-01,19089.379,4.7,1.9,0.41,13182.4,93.8
2016-12-01,19089.379,4.7,1.9,0.54,13215.3,98.2
2017-01-01,19280.084,4.7,2.1,0.65,13286.4,98.5
2017-02-01,19280.084,4.6,2.1,0.66,13351.2,96.3
2017-03-01,19280.084,4.4,2.1,0.79,13420.1,96.9
2017-04-01,19438.643,4.4,1.1,0.9,13481,97
2017-05-01,19438.643,4.4,1.1,0.91,13539.7,97.1
2017-06-01,19438.643,4.3,1.1,1.04,13564.1,95
2017-07-01,19692.595,4.3,2.1,1.15,13628.9,93.4
2017-08-01,19692.595,4.4,2.1,1.16,13688,96.8
2017-09-01,19692.595,4.3,2.1,1.15,13733.8,95.1
2017-10-01,20037.088,4.2,2.5,1.15,13788.5,100.7
2017-11-01,20037.088,4.2,2.5,1.16,13814.7,98.5
2017-12-01,20037.088,4.1,2.5,1.3,13860.3,95.9
2018-01-01,20328.553,4,2.6,1.41,13869.2,95.7
2018-02-01,20328.553,4.1,2.6,1.42,13907.3,99.7
2018-03-01,20328.553,4,2.6,1.51,13966.4,101.4
2018-04-01,20580.912,4,2.9,1.69,13989.3,98.8
2018-05-01,20580.912,3.8,2.9,1.7,14055.7,98
2018-06-01,20580.912,4,2.9,1.82,14117.5,98.2
2018-07-01,20798.73,3.8,1.7,1.91,14157,97.9
2018-08-01,20798.73,3.8,1.7,1.91,14206,96.2
2018-09-01,20798.73,3.7,1.7,1.95,14238.2,100.1
2018-10-01,20917.867,3.8,1.7,2.19,14248.1,98.6
2018-11-01,20917.867,3.8,1.7,2.2,14258.7,97.5
2018-12-01,20917.867,3.9,1.7,2.27,14369.9,98.3
2019-01-01,21111.6,4,1.2,2.4,14432.7,91.2
2019-02-01,21111.6,3.8,1.2,2.4,14470.5,93.8
2019-03-01,21111.6,3.8,1.2,2.41,14513.9,98.4
2019-04-01,21397.938,3.7,2.1,2.42,14548.1,97.2
2019-05-01,21397.938,3.6,2.1,2.39,14660.8,100
2019-06-01,21397.938,3.6,2.1,2.38,14782.9,98.2
2019-07-01,21717.171,3.7,1.3,2.4,14865.4,98.4
2019-08-01,21717.171,3.6,1.3,2.13,14947.6,89.8
2019-09-01,21717.171,3.5,1.3,2.04,15039.5,93.2
2019-10-01,21933.217,3.6,1.2,1.83,15174.6,95.5
2019-11-01,21933.217,3.6,1.2,1.55,15273.3,96.8
2019-12-01,21933.217,3.6,1.2,1.55,15334.3,99.3
2020-01-01,21727.657,3.6,1.9,1.55,15401.3,99.8
2020-02-01,21727.657,3.5,1.9,1.58,15453.8,101
2020-03-01,21727.657,4.4,1.9,0.65,15980.6,89.1
2020-04-01,19935.444,14.8,-1.5,0.05,16999,71.8
2020-05-01,19935.444,13.2,-1.5,0.05,17868.4,72.3
2020-06-01,19935.444,11,-1.5,0.08,18161.5,78.1
2020-07-01,21684.551,10.2,3.5,0.09,18311.4,72.5
2020-08-01,21684.551,8.4,3.5,0.1,18382.2,74.1
2020-09-01,21684.551,7.8,3.5,0.09,18606.8,80.4
2020-10-01,22068.767,6.9,2.7,0.09,18758.1,81.8
2020-11-01,22068.767,6.7,2.7,0.09,18973.3,76.9
2020-12-01,22068.767,6.7,2.7,0.09,19110.3,80.7
2021-01-01,22656.793,6.4,5.2,0.09,19335,79
2021-02-01,22656.793,6.2,5.2,0.08,19571.2,76.8
2021-03-01,22656.793,6.1,5.2,0.07,19810,84.9
